17282,13018,14613,11080,6856,11803
951,728,339,327,142,352
99,82,67,153,20,620
287,28,29,15,16,38
292,159,217,17,56,60
63,108,56,185,34,26
59,16,615,177,17,184
405,99,126,109,62,392
387,388,112,81,29,148
486,118,22,143,28,178
91,158,63,74,59,169
247,299,3136,750,189,126
252,750,212,116,340,245
1917,865,3358,610,519,876
944,509,414,294,528,802
127,463,22,64,136,262
29,145,59,1898,8,55
174,184,43,76,49,935
15,62,23,114,35,68
361,150,34,25,248,49
379,542,434,155,237,181
144,86,332,110,185,530
706,785,284,111,167,118
882,668,598,341,573,773
115,107,77,226,70,332
181,176,210,27,90,147
1140,237,138,141,95,317
522,952,605,428,222,424
941,1069,586,123,466,473
124,129,77,46,0,74
295,99,15,11,42,154
212,66,147,23,19,52
169,202,19,32,33,109
226,253,159,2728,92,149
801,216,229,128,98,209
126,211,115,24,360,69
110,113,69,177,18,34
125,27,138,125,53,151
391,165,139,143,115,92
360,217,42,82,39,162
716,318,674,130,393,779
34,17,14,5,7,7
197,303,145,104,29,267
98,67,39,149,43,51
316,126,72,20,392,146
311,293,92,150,105,227
274,79,176,23,259,89
201,184,41,90,139,102
h30,ｒ1,ｒ2, r3, r4, r5
